,normalized_title,offer_price_amazon,mrp_amazon,offer_price_prokick,mrp_prokick,offer_price_instasports,mrp,clean_title,color,pack_size,limited_edition,speed
69,li-ning champ abdp374 polyester badminton kit-bag with shoe bag,1890.0,,,,,,li-ning champ abdp374 polyester badminton kit-bag with shoe bag,,,No,
70,"li-ning bolt gold (6 in 1 nylon shuttlecock), yellow",585.0,1399.0,,,,,"li-ning bolt ,","gold, yellow",,No,
71,"li-ning turbo 99 strung carbon fibre badminton racket with free full cover, black, orange",1890.0,4590.0,,,,,"li-ning turbo 99 strung carbon fibre badminton racket with free full cover, ,","black, orange",,No,
72,li-ning xp-303 pro - (strung) aluminium frame badminton racket+ full cover (black/green),499.0,1190.0,,,,,li-ning xp-303 pro - aluminium frame badminton racket+ full cover,"black, green",,No,
73,li-ning swift x100 nylon shuttlecock,349.0,869.0,,,,,li-ning swift x100 nylon shuttlecock,,,No,
74,li-ning gp-20 badminton raquets (lime),145.0,199.0,,,,,li-ning gp-20 badminton raquets,lime,,No,
75,li-ning gp-20 badminton raquets grip 3pc (black),250.0,300.0,,,,,li-ning gp-20 badminton raquets grip 3pc,black,,No,
76,li-ning tectonic 3r strung carbon fibre badminton racket with free full cover,5290.0,5290.0,,,,,li-ning tectonic 3r strung carbon fibre badminton racket with free full cover,,,No,
77,li-ning turbo charging z drive carbon fibre (black/gold) badminton racket with free full cover,4190.0,4590.0,,,,,li-ning turbo charging z drive carbon fibre badminton racket with free full cover,"black, gold",,No,
78,li-ning air force g2 badminton racket,2940.0,5590.0,,,,,li-ning air force g2 badminton racket,,,No,
79,"li-ning super series 2020 - (strung) badminton racquets with free full cover graphite, strung (black/gold) with free full cover",1990.0,4490.0,,,,,"li-ning super series 2020 - badminton racquets with free full cover graphite, strung with free full cover","black, gold",,No,
80,li-ning raider max double zipper polyester badminton kit bag (black),1549.0,1990.0,,,,,li-ning raider max double zipper polyester badminton kit bag,black,,No,
81,"li-ning xp-90-iv aluminum strung badminton racket (2 x rackets + 2 x full covers, white/silver)",899.0,1980.0,,,,,li-ning xp-90-iv aluminum strung badminton racket,"white, silver",,No,
82,li-ning wind lite 900 carbon fiber strung badminton racket with full cover ( navy/red),3390.0,5990.0,,,,,li-ning wind lite 900 carbon fiber strung badminton racket with full cover,"navy, red",,No,
83,"li-ning xp-505 pro - (strung badminton racket) black / gold , set of 2 + 1 full cover+attack nylon shuttle",1127.72,3270.0,,,,,"li-ning xp-505 pro - / , set of 2 + 1 full cover+attack nylon shuttle","black, gold",,No,
84,li-ning g-tek gx strung graphite badminton racquet with free cover,949.0,2590.0,,,,,li-ning g-tek gx strung graphite badminton racquet with free cover,,,No,
85,"li-ning wrist band for badminton / tennis players, set of 2 -black",599.0,699.0,,,,,"li-ning wrist band for badminton / tennis players, set of 2 -",black,,No,
86,"li-ning aluminum badminton racket mega power 5, black/green",420.91,1190.0,,,,,"li-ning aluminum badminton racket mega power 5, /","black, green",,No,
87,li-ning diwali gift pack,755.28,2380.0,,,,,li-ning diwali gift pack,,,No,
88,li-ning wind lite stealth carbon fibre strung badminton racket with free full cover (powered by windstorm),3340.0,3340.0,,,,,li-ning wind lite stealth carbon fibre strung badminton racket with free full cover,,,No,
89,"li-ning air force 78 g2 carbon fibre unstrung badminton racket with free full cover, black, silver",2940.0,5590.0,,,,,"li-ning air force 78 g2 carbon fibre unstrung badminton racket with free full cover, ,","black, silver",,No,
90,"li-ning xp-90-iv strung aluminum badminton racket with free head cover(set of 1,white/silver)",399.0,990.0,,,,,li-ning xp-90-iv strung aluminum badminton racket with free head cover,"white, silver",,No,
91,"li-ning hot shot triple zipper polyester badminton kit bag (black, gold)",1289.0,2290.0,,,,,li-ning hot shot triple zipper polyester badminton kit bag,"black, gold",,No,
92,"li-ning g-force 3600 superlite carbon fibre strung badminton racket (dark grey, gold, g4 - 4 1/2 inches)",1889.0,4590.0,,,,,li-ning g-force 3600 superlite carbon fibre strung badminton racket,"grey, gold",,No,
93,li-ning g-force 3600 superlite carbon fibre strung badminton racket - dark grey/gold,2330.0,4590.0,,,,,li-ning g-force 3600 superlite carbon fibre strung badminton racket - dark /,"grey, gold",,No,
94,"li-ning xp 2020 special edition (aypq154-5) blend strung badminton racquet (white) with free head cover(set of 1), blend",382.5,1090.0,,,,,"li-ning xp 2020 special edition blend strung badminton racquet with free head cover, blend",white,,No,
95,yonex gr-303 aluminum badminton racquet with extra grip (blue),799.0,899.0,,,,,yonex gr-303 aluminum badminton racquet with extra grip,blue,,No,
96,yonex wrist band wb08501,179.0,,,,,,yonex wrist band wb08501,,,No,
97,yonex wrist band wb08501,179.0,,,,,,yonex wrist band wb08501,,,No,
98,yonex astrox smash badminton pre-strung racket (black/flame red)(fg5),8743.0,,,,,,yonex astrox smash badminton pre-strung racket,"black, red",,No,
99,yonex zr 111 light aluminium badminton racquet with full cover | made in india,391.9,750.0,,,,,yonex zr 111 light aluminium badminton racquet with full cover | made in india,,,No,
100,yonex zr 111 light aluminium badminton racquet with full cover | made in india,421.95,800.0,,,,,yonex zr 111 light aluminium badminton racquet with full cover | made in india,,,No,
