,Unnamed: 0,normalized_title,offer_price_amazon,mrp_amazon,offer_price_prokick,mrp_prokick,offer_price_instasports,mrp,clean_title,color,pack_size,limited_edition,speed
506,506,"li-ning tectonic 7d full-carbon fiber badminton racket, unstrung white",,,12875.0,22990.0,,,"li-ning tectonic 7d full-carbon fiber badminton racket, unstrung",white,,No,
507,507,li-ning a 70 badminton 200 mtrs string roll,,,2745.0,4990.0,,,li-ning a 70 badminton 200 mtrs string roll,,,No,
508,508,"li-ning cotton men's sports socks, quarter length, pack of 3, blk-wht-gry",,,329.0,499.0,,,"li-ning cotton men's sports socks, quarter length, , blk-wht-gry",,pack of 3,No,
509,509,li-ning windstorm 72 unstrung professional badminton racquet - purple/pink,,,8995.0,14990.0,,,li-ning windstorm 72 unstrung professional badminton racquet - purple/,pink,,No,
510,510,"li-ning cotton men's sports socks, ankle length, pack of 3, black",,,499.0,499.0,,,"li-ning cotton men's sports socks, ankle length, ,",black,pack of 3,No,
511,511,"li-ning aden088 kinesiology tape, light green",,,295.0,390.0,,,"li-ning aden088 kinesiology tape, light",green,,No,
512,512,"li-ning aden088 kinesiology tape, red",,,295.0,390.0,,,"li-ning aden088 kinesiology tape,",red,,No,
513,513,li-ning pro jumbo kt tape roll uncut(125 feet) - stealth beige,,,8029.0,10999.0,,,li-ning pro jumbo kt tape roll uncut - stealth,beige,,No,
514,514,"li-ning pro kt tape, blaze orange",,,1459.0,1999.0,,,"li-ning pro kt tape, blaze",orange,,No,
515,515,"li-ning pro kt tape, sonic blue",,,1459.0,1999.0,,,"li-ning pro kt tape, sonic",blue,,No,
516,516,"li-ning pro kt tape, epic purple",,,1459.0,1999.0,,,"li-ning pro kt tape, epic purple",,,No,
517,517,"li-ning pro kt tape, winner green",,,1459.0,1999.0,,,"li-ning pro kt tape, winner",green,,No,
518,518,"li-ning pro kt tape, hero pink",,,1459.0,1999.0,,,"li-ning pro kt tape, hero",pink,,No,
519,519,"li-ning gc001 towel grip badminton racket grips, pack of 5 - assorted colors",,,868.0,1050.0,,,"li-ning gc001 towel grip badminton racket grips, - assorted colors",,pack of 5,No,
520,520,"li-ning axforce 90 tiger max badminton set, navy/blue",,,23395.0,35990.0,,,"li-ning axforce 90 tiger max badminton set, /","navy, blue",,No,
